"SUID","interaction","name","selected","shared interaction","shared name"
"9191","child_of","","false","child_of",""
"8172","linked_to","","false","linked_to",""
"8163","child_of","","false","child_of",""
"6138","child_of","","false","child_of",""
"7406","child_of","","false","child_of",""
"8560","child_of","","false","child_of",""
"4833","child_of","","false","child_of",""
"6849","child_of","","false","child_of",""
"5446","child_of","","false","child_of",""
"5345","child_of","","false","child_of",""
"9535","child_of","","false","child_of",""
"8792","linked_to","","false","linked_to",""
"4903","child_of","","false","child_of",""
"4666","linked_to","","false","linked_to",""
"7079","child_of","","false","child_of",""
"7918","child_of","","false","child_of",""
"7672","child_of","","false","child_of",""
"8048","child_of","","false","child_of",""
"8323","child_of","","false","child_of",""
"9107","linked_to","","false","linked_to",""
"8896","child_of","","false","child_of",""
"9538","linked_to","","false","linked_to",""
"7500","child_of","","false","child_of",""
"6501","linked_to","","false","linked_to",""
"8157","child_of","","false","child_of",""
"6521","child_of","","false","child_of",""
"4507","linked_to","","false","linked_to",""
"6870","linked_to","","false","linked_to",""
"4840","child_of","","false","child_of",""
"8382","child_of","","false","child_of",""
"7824","child_of","","false","child_of",""
"9863","linked_to","","false","linked_to",""
"6929","child_of","","false","child_of",""
"7397","child_of","","false","child_of",""
"5276","child_of","","false","child_of",""
"8561","linked_to","","false","linked_to",""
"7724","linked_to","","false","linked_to",""
"6967","child_of","","false","child_of",""
"9469","child_of","","false","child_of",""
"7408","child_of","","false","child_of",""
"6239","child_of","","false","child_of",""
"9665","child_of","","false","child_of",""
"9055","child_of","","false","child_of",""
"8143","linked_to","","false","linked_to",""
"7527","child_of","","false","child_of",""
"5902","child_of","","false","child_of",""
"5530","child_of","","false","child_of",""
"6310","child_of","","false","child_of",""
"4342","linked_to","","false","linked_to",""
"4662","child_of","","false","child_of",""
"5122","child_of","","false","child_of",""
"6345","child_of","","false","child_of",""
"8344","child_of","","false","child_of",""
"6275","linked_to","","false","linked_to",""
"6182","child_of","","false","child_of",""
"4265","child_of","","false","child_of",""
"4708","child_of","","false","child_of",""
"8028","child_of","","false","child_of",""
"5067","child_of","","false","child_of",""
"9343","child_of","","false","child_of",""
"7417","child_of","","false","child_of",""
"5750","child_of","","false","child_of",""
"6141","child_of","","false","child_of",""
"5547","child_of","","false","child_of",""
"5667","child_of","","false","child_of",""
"6526","child_of","","false","child_of",""
"9458","child_of","","false","child_of",""
"5513","child_of","","false","child_of",""
"7564","child_of","","false","child_of",""
