start	end	type
395	1773	child_of
395	774	linked_to
395	3158	linked_to
395	651	linked_to
4014	1407	child_of
1881	3190	child_of
2378	2469	child_of
992	1861	child_of
1072	2992	child_of
4056	3814	child_of
628	3772	child_of
3222	3413	child_of
3821	3215	child_of
2774	3085	child_of
2774	992	linked_to
2774	925	linked_to
2774	2324	linked_to
1772	3777	child_of
1459	671	child_of
938	2795	child_of
858	144	child_of
4077	1817	child_of
3777	3514	child_of
3237	1222	child_of
2818	1292	child_of
3695	3591	child_of
3723	1914	child_of
92	3478	child_of
92	3187	linked_to
92	2240	linked_to
1297	1547	child_of
539	4061	child_of
1886	1319	child_of
2467	48	child_of
3544	599	child_of
3036	1649	child_of
350	3725	child_of
350	3194	linked_to
350	2888	linked_to
350	43	linked_to
350	1323	linked_to
350	3576	linked_to
3614	2655	child_of
1640	3848	child_of
2466	3049	child_of
717	219	child_of
1850	273	child_of
1850	2870	linked_to
4076	3960	child_of
431	815	child_of
3294	2548	child_of
3360	3345	child_of
2657	2573	child_of
2438	939	child_of
1863	3201	child_of
1401	1295	child_of
411	473	child_of
526	411	child_of
3701	487	child_of
3324	1480	child_of
2178	2722	child_of
3101	3895	child_of
3580	3895	child_of
4020	1441	child_of
4005	3144	child_of
1424	2859	child_of
1214	1212	child_of
2017	3086	child_of
1950	3129	child_of
3611	1147	child_of
2714	3611	child_of
104	265	child_of
3084	3502	child_of
1776	3439	child_of
1776	2315	linked_to
2387	508	child_of
2357	1515	child_of
1299	2625	child_of
3950	1315	child_of
3950	3122	linked_to
625	3308	child_of
625	813	linked_to
2705	1867	child_of
2625	2202	child_of
2174	2543	child_of
2174	3593	linked_to
2003	538	child_of
1374	1989	child_of
502	406	child_of
186	2560	child_of
3894	103	child_of
3263	3667	child_of
2228	3351	child_of
2960	1226	child_of
3247	1059	child_of
3867	3247	child_of
4031	1932	child_of
753	2496	child_of
1145	3801	child_of
1736	2938	child_of
1652	577	child_of
3289	411	child_of
2650	1898	child_of
2650	2894	linked_to
2650	396	linked_to
2650	881	linked_to
464	1892	child_of
3529	1945	child_of
3529	2454	linked_to
1914	2505	child_of
615	3626	child_of
615	3734	linked_to
