NeXO Term	SGD Gene ID
8284	S000000213
9041	S000000213
9047	S000000213
5872	S000000213
9113	S000000213
8592	S000000213
9830	S000000213
9094	S000000213
9657	S000000213
9302	S000000213
8969	S000000213
6632	S000000213
9312	S000000213
8805	S000000214
7267	S000000214
7857	S000000214
7668	S000000214
7067	S000000214
7598	S000000214
9508	S000000214
9430	S000000214
8746	S000000214
9292	S000000214
9199	S000000214
8998	S000000214
9776	S000000214
7484	S000000214
8661	S000000214
7232	S000000214
9282	S000000214
8924	S000000214
9047	S000000214
9210	S000000214
8346	S000000214
9113	S000000214
5310	S000000214
9830	S000000214
9094	S000000214
9657	S000000214
9302	S000000214
8969	S000000214
8817	S000000214
6632	S000000214
9312	S000000214
8956	S000000214
8700	S000000215
7141	S000000215
5124	S000000216
5115	S000000218
9780	S000000218
5895	S000000219
7821	S000000219
9365	S000000219
9427	S000000219
5165	S000000219
9079	S000000219
9470	S000000219
8966	S000000219
7651	S000000219
9080	S000000219
9136	S000000220
6822	S000000220
8803	S000000221
7864	S000000221
8949	S000000221
8387	S000000221
9430	S000000221
8704	S000000221
9292	S000000221
8477	S000000221
8073	S000000221
9550	S000000221
8376	S000000221
9830	S000000221
9657	S000000221
9089	S000000221
6070	S000000222
7301	S000000222
6070	S000000223
7917	S000000223
7538	S000000224
5315	S000000224
8755	S000000225
5485	S000000225
7665	S000000227
9344	S000000227
9366	S000000227
8727	S000000227
9306	S000000227
7701	S000000227
9427	S000000227
9338	S000000227
8512	S000000227
7898	S000000227
9076	S000000227
9079	S000000227
5545	S000000227
9470	S000000227
9475	S000000227
9304	S000000227
8962	S000000227
6822	S000000227
9265	S000000227
5630	S000000227
7775	S000000228
8085	S000000228
8565	S000000228
7614	S000000228
7004	S000000228
8949	S000000229
9193	S000000229
9351	S000000229
8080	S000000229
8079	S000000229
7167	S000000230
7733	S000000230
8190	S000000230
6841	S000000230
6443	S000000230
7446	S000000231
5863	S000000231
5862	S000000231
8503	S000000232
5223	S000000232
5675	S000000233
9210	S000000233
5868	S000000234
6840	S000000234
9250	S000000235
9323	S000000235
9519	S000000235
9816	S000000235
9249	S000000235
9538	S000000235
9533	S000000235
