S000002887	YDR479C	PEX29	S000003118	YGL150C	INO80
S000000291	YBR087W	RFC5	S000006115	YPL194W	DDC1
S000003253	YGR021W		S000001472	YIR033W	MGA2
S000002270	YDL112W	TRM3	S000004150	YLR160C	ASP3-4
S000000284	YBR080C	SEC18	S000003961	YLL038C	ENT4
S000003341	YGR109C	CLB6	S000003797	YJR036C	HUL4
S000000619	YCR024C-A	PMP1	S000000664	YCR068W	ATG15
S000000678	YCR082W	AHC2	S000002742	YDR334W	SWR1
S000001470	YIR031C	DAL7	S000003606	YJL070C	
S000002879	YDR471W	RPL27B	S000000933	YER131W	RPS26B
S000000183	YBL087C	RPL23A	S000004398	YLR406C	RPL31B
